cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2019-9818,362,0.34%,~ 57 %,8.3,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,Network,High,None,Required,Changed,High,High,High,1.6,6.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:23:53.000,2024-08-04 22:01:54.839,mozilla,Use-after-free in crash generation server
CVE-2019-9817,346,0.19%,~ 41 %,5.3,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Network,Low,None,None,Unchanged,Low,None,None,3.9,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:24:05.000,2024-08-04 22:01:54.839,mozilla,Stealing of cross-domain images using canvas
CVE-2019-9816,843,38.25%,~ 97 %,5.9,MEDIUM,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,Network,High,None,None,Unchanged,None,High,None,2.2,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:24:19.000,2024-08-04 22:01:54.964,mozilla,Type confusion with object groups and UnboxedObjects
CVE-2019-9815,203,1.02%,~ 77 %,8.1,HIGH,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,High,None,None,Unchanged,High,High,High,2.2,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:24:32.000,2024-08-04 22:01:55.125,mozilla,Disable hyperthreading on content JavaScript threads on macOS
CVE-2019-9813,843,51.51%,~ 98 %,8.8,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,2.8,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-04-26 16:09:57.000,2024-08-04 22:01:54.683,mozilla,Ionmonkey type confusion with __proto__ mutations
CVE-2019-9811,74,0.73%,~ 72 %,8.3,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,Network,High,None,Required,Changed,High,High,High,1.6,6.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:26:03.000,2024-08-04 22:01:54.737,mozilla,Sandbox escape via installation of malicious language pack
CVE-2019-9810,119,69.87%,~ 99 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,2.8,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-04-26 16:10:13.000,2024-08-04 22:01:54.913,mozilla,IonMonkey MArraySlice has incorrect alias information
CVE-2019-9801,20,0.38%,~ 59 %,5.3,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,Network,Low,None,None,Unchanged,None,Low,None,3.9,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-04-26 16:13:22.000,2024-08-04 22:01:55.044,mozilla,Windows programs that are not 'URL Handlers' are exposed to web content
CVE-2019-9800,787,0.55%,~ 68 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:26:14.000,2024-08-04 22:01:54.891,mozilla,"Memory safety bugs fixed in Firefox 67, Firefox ESR 60.7, and Thunderbird 60.7"
CVE-2019-9797,346,0.49%,~ 65 %,5.3,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Network,Low,None,None,Unchanged,Low,None,None,3.9,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-04-26 16:13:22.000,2024-08-04 22:01:54.947,mozilla,Cross-origin theft of images with createImageBitmap
